Pergunta,Resposta
Como eu sei se estou grávida?,"Quando a mulher engravida o corpo passa por diferentes mudanças para se adaptar ao bebê que está se desenvolvendo e assim surgem os primeiros sintomas de gravidez. Existem diferentes sinais que podem indicar uma gravidez, entre os sintomas iniciais da gravidez estão:

- Atraso menstrual
- Enjoos
- Mamas maiores e sensíveis
- Maior frequência urinária
- Aumento abdominal
- Prisão de ventre e aumento dos gases
- Aversão a cheiros fortes
- Instabilidade emocional
- Aumento da libido
- Ronco
- Aumento da transpiração"
Como prevenir o parto prematuro?,"Você pode tomar precauções que podem ajudar a impedir o parto prematuro de começar.

 Beber oito doses de suco ou água a cada duas horas para evitar a desidratação, o que poderia deixar seu útero mais ""irritado"".
 Ter uma dieta saudável e ganhar de 10 a 15 quilos durante a gravidez
 Sempre limpe da frente para trás após urinar ou evacuar, para evitar uma ITU (infecção do trato urinário).
 Sente-se com as pernas elevadas mais ou menos a cada uma hora, e não levante objetos pesados.
 Pare as atividades físicas e descanse se tiver contrações que não parem dentro de um curto espaço de tempo.
 Tente diminuir o estresse em sua vida."
Como prevenir a pré eclâmpsia?,"Nem sempre é possível prevenir a pré-eclâmpsia, mas se você apresentar um dos fatores de risco, você pode tomar alguns cuidados, como:

- Identifiar e tratar os fatores de risco antes de ficar grávida. Por exemplo, controle a pressão alta, perca peso se necessário e, se você for diabética, tenha sua condição sob controle antes de ficar grávida. Seu médico poderá aconselhá-la sobre os próximos passos, caso você esteja grávida e apresente algum desses fatores de risco.
- Alguns médico podem recomendar aspirina em baixa dosagem durante toda a gravidez se seu risco for alto."
Estou com muito enjoo,"Náuseas, vômitos e tonturas são sintomas comuns no início da gestação. Algumas dicas que podem aliviar esse sintomas são:
- alimentação fracionada (seis refeições leves ao dia)
- evitar frituras, gorduras e alimentos com cheiros fortes
- evitar líquidos durante as refeições
- ingerir alimentos sólidos pela manhã antes de escovar os dentes
- Adiar o horário de escovação dos dentes, evitando os primeiros instantes após levantar-se pela manhã
Em caso de vômitos frequentes, agende uma consulta com o seu médico."
Estou tendo muita azia,"É comum a partir do segundo trimestre da gestação. Algumas dicas que podem te ajudar são:
- Ingestão de forma fracionada (pequenas quantidades e com maior frequência)
- Evitar frituras, café, chá preto, mates, alimentos gordurosos e picantes e outros irritantes gástricos, doces, álcool e fumo
- Ao dormir, buscar elevar o tronco em relação ao resto do corpo (pode-se elevar a cabeceira da cama). 
- Após as refeições, deitar-se só após uma ou duas horas."
Estou com muita salivação,É bem comum no início da gestação. Evite cuspir a saliva e procure tomar líquidos em abundância (especialmente em épocas de calor). Chupar gelo também pode ajudar.
Estou com muita fraqueza,"Fraquezas e desmaios podem acontecer após mudanças bruscas de posição e também quando você ficar muito tempo sem se alimentar. 
Geralmente deitar de lado (esquerdo preferencialmente) respirando calma e profundamente melhora a sensação. Procure evitar ambientes pouco ventilados e roupas muito quentes."
Estou com muitos gases,"Para melhorar esse sintoma mantenha uma alimentação rica em fibras, incluindo na sua dieta verduras, cereais integrais e frutas laxantes como o mamão e a banana. Beba bastante água e procure evitar alimentos como feijão, repolho, frituras e ovo. Realizar exercícios físicos como caminhada também podem ajudar."
Estou com o intestino preso,"Para melhorar esse sintoma mantenha uma alimentação rica em fibras, incluindo na sua dieta verduras, cereais integrais e frutas laxantes como o mamão e a banana. Beba bastante água e procure evitar alimentos como feijão, repolho, frituras e ovo. Realizar exercícios físicos como caminhada também podem ajudar."
Estou tendo corrimento,"O aumento do corrimento é comum em gestantes apenas fique atenta pois o fluxo normal não causa coceira, mau cheiro, ardência ou dor nas relações. Se você apresentar qualquer um desses sintomas, procure o seu médico."
Estou tendo muita vontade de fazer xixi,"O aumento da vontade de urinar é muito comum no início e no fim da gestação. Portanto, não diminua a ingestão de líquido para tentar diminuir a frequência com que você vai ao banheiro, é importante manter-se hidratada. 
Sempre que sentir ardência para urinar ou dor e aparecer sangue na urina ou febre avise o seu médico."
Estou com muita dor nos seios,"As mamas aumentam de volume durante a gestação o que frequentemente causa dor, para ajudar procure sempre usar sutiã com boa sustentação. Ainda assim, é importante realizar o exame das mamas para descartar qualquer problema mais grave. Lembre-se também de se preparar para a amamentação."
Estou com muitas varizes,"Para melhorar os sintomas das varizes procure:
- Não permanecer muito tempo em pé ou sentada e evitar inatividade
- Repousar pelo menos 20 minutos, várias vezes ao dia, com as pernas elevadas
- Não usar roupas muito justas e, se possível, utilizar meia-calça elástica para gestante"
Estou com muita dor no corpo,"Durante a gestação as articulações ficam com maior mobilidade e isto frequentemente ocasiona dores nas costas e em articulações como o joelho e o tornozelo. Algumas medidas que podem te ajudar são:

- Evitar aumento excessivo de peso
- Fazer exercícios regularmente
- Manter uma postura adequada
- Evitar uso de saltos altos e desconfortáveis"
Estou com muita dor de cabeça,"Em geral, dores de cabeça são provenientes de tensão emocional, entretanto podem estar associadas também a doenças mais sérias. Sempre comunique o seu médico para que ele possa te examinar e descartar casos de hipertensão arterial e pré-eclâmpsia. O uso de medicamentos só deve ser feito sob a indicação do seu médico. Para aliviar a dor, procure descansar em um lugar tranquilo e sem barulho, com as luzes apagadas."
Estou tendo muitas câimbras,"As câimbras podem ocorrer durante a gestação, geralmente após excesso de exercício. Quando acontecer, massageie o músculo e aplique calor no local. Procure consumir alimentos ricos em potássio, cálcio e vitamina B1, como banana, couve e aveia."
"Estou com muitas estrias, o que posso fazer pra melhorar?","As estrias são resultado da distensão dos tecidos e, infelizmente, não existe método eficaz de prevenção. O que você pode fazer para tentar  preveni-las é realizar massagens com óleos nos lugares mais propensos a estrias como abdômen, mamas e coxas. Só cuidado para não aplicar nenhum creme nos mamilos."
Estou com muitas manchas no rosto,"Manchas na pele são comuns na gravidez e costumam diminuir ou desaparecer, em tempo variável, após o parto. Procure sempre usar filtro solar e evite a exposição ao sol."
Minhas gengivas estão sangrando,"O sangramento nas gengivas também é um sintoma comum da gestação, a causa mais freqüente é a inflamação crônica da gengiva. Utilize escova de dente macia, massageie a gengiva e passe o fio dental. Relate esse problema ao seu médico e se possível, marque também um dentista."
Estou tendo muita falta de ar,"A falta de ar e a dificuldade para respirar são sintomas frequentes na gestação devido ao aumento do útero, elevação do diafragma, ou ansiedade. Deitar de lado, de preferência do lado esquerdo, ajuda a aliviar a sensação de falta de ar.
Se os sintomas não melhorarem com o repouso ou estiverem se agravando, procure seu médico."
"Estou com sangramento, o que eu faço?","Não entre em desespero e tente manter a calma. Os sangramentos genitais durante a gravidez são frequentes e, nem sempre, indicam um problema grave. Mesmo assim, é sempre necessário entrar em contato com o seu médico ou ir ao pronto atendimento mais próximo para avaliação."
"Estou com cólica, é normal?","A cólica na gravidez é normal, principalmente no início da gestação devido a adaptação do corpo da mãe ao crescimento do bebê e também no final da gravidez, por volta das 37 semanas de gestação, dando indícios do início do trabalho de parto.

No entanto, existem outras situações que podem causar cólicas fortes e persistentes na gravidez, e que devem ser avaliadas pelo médico. Se as cólicas não pararem depois de um tempo ou vierem acompanhadas sangramento vaginal, corrimento ou febre, é importante consultar um ginecologista.

O alívio da cólica é feito de acordo com sua causa e conforme a recomendação médica."
Qual o objetivo do exame de fezes?,É importante para investigar a presença de parasitas no intestino que podem provocar problemas como anemia.
Qual o objetivo do exame de glicemia?,"O exame de glicemia, conhecido popularmente como glicemia em jejum, é solicitado pelo ginecologista para medir a quantidade de glicose presente na corrente sanguínea, o que permite identificar eventuais quadros de intolerância à glicose e diabetes.
Se as taxas estiverem muito acima do normal, pode ser que a mulher esteja com diabetes gestacional, que exige cuidado e atenção especial, pois pode comprometer a gravidez.

O exame costuma ser feito em jejum de 8 horas, em que é medida a quantidade de glicose quando não houve ingestão recente de alimentos. 
Além disso pode ser feito durante a chamada curva glicêmica ou teste de tolerância à glicose — duas horas após a ingestão de uma dose padronizada de glicose."
Qual o objetivo do exame de sangue?,"É importante para determinar o seu tipo sanguíneo e detectar infecções como sífilis e HIV. Além disso, serve para verificar se você possui anemia, dosar os níveis de açucar no sangue e definir se você possui risco de contrair doenças como rubéola e toxoplasmose."
Qual o objetivo do exame de urina?,O exame de urina é responsável por detectar uma eventual infecção urinária
Qual o objetivo da ultrassonografia intravaginal?,"Nesse exame, podemos calcular o tempo de gravidez e a data provável do parto, além de visualizar o embrião e o saco gestacional."
Qual o objetivo da ultrassonografia da translucência nucal?,"O principal objetivo desse exame é a medicação da espessura de um fluido entre a pele e a gordura da nuca do bebê. O resultado aponta a chance de haver anomalias, como a Síndrome de Down."
Qual o objetivo da triagem de diabetes gestacional?,"O objetivo desse exame é verificar se você não desenvolveu diabetes gestacional, pois essa doença requer cuidados especiais e uma possível antecipação do parto."
Qual objetivo da triagem de estreptococo beta-hermolitico?,"Esse exame serve pra detectar um infecção causada pela bactéria estreptococo do grupo B, que pode ser passada para o bebê durante o nascimento. O tratamento para esses casos, consiste na administração de antibióticos no dia do parto."
Qual o objetivo do exame do último trimestre?,"Esse exame serve para acompanhar o tamanho, o peso e a posição do bebê, além de avaliar a maturidade da placenta e a quantidade de líquido aminiótico."
Como funciona o pré natal?,"O acompanhamento pré-natal é um conjunto de exames realizados durante a gestação que possibilitam que a mulher faça um acompanhamento detalhado da sua saúde e do bebê. É de extrema importância, pois ajuda a prevenir diversas doenças e complicações que podem trazer inclusive o parto prematuro e o aborto."
Posso tomar anestesia quando for no dentista?,Sim. Você pode receber anestesia e o dentista vai saber a conduta mais adequada e segura na gravidez.
Preciso evitar produtos de limpeza?,"Tome cuidado com produtos de limpeza, principalmente aqueles que contenham amônia ou os seus derivados, já que essas substâncias podem trazer malefícios ao bebê."
Por que os médicos evitam fazer parto normal em mulheres que já fizeram cesarianas?,"Isso não é uma verdade absoluta, a partir da segunda cirurgia, os médicos desaconselham parto normal, pois há risco de ocorrer ruptura no útero. O órgão fica frágil por ter sido cortado mais de uma vez no mesmo lugar."
O bebê sente quando há relação sexual?,"Não, isso é um mito."
Quando posso voltar a fazer exercicios?,"Se foi parto normal, você pode voltar a se exercitar em dois meses. Mas, se fez cesariana, espere pelo menos 3 meses. Em algumas situações especiais, o médico pode pedir períodos mais longos sem atividade físicas. Consulte-o sobre o seu caso específico."
Qual a melhor posição para o bebê dormir?,"O bebê deve dormir de barriga para cima. De acordo com pesquisas, bebês que dormem de bruço ou de lado correm o risco de ter a síndrome de morte súbita. As demais posições são permitidas quando o bebê já for capaz de ser virar sozinho na cama."
Tomar anticoncepcional por muito tempo dificulta a gravidez?,"As pílulas anticoncepcionais não causam infertilidade mesmo após anos de uso. Assim que se suspende o uso, a fertilidade retorna imediatamente."
O parto normal pode transmitir doença para o bebê?,"Sim, como por exemplo o vírus HIV. No entanto, a maioria das condições infecciosas da mãe, quando bem controlada, não contraindica o parto normal. A avaliação médica ditará a conduta, em alguns casos usando medicamentos que previnem a contaminação."
Quando o meu corpo vai voltar ao normal?,O corpo retoma suas formas entre 40 e 60 dias. Já os seios só voltam ao normal depois do fim da amamentação.
O leite materno desce mais rápido depois do parto normal?,"Na maioria dos casos isso acontece, mas não é uma regra. Pode ser mais demorado para uma mulher que fez a cesariana, mas não estava em trabalho de parto."
Como calcular o período fértil?,"Para calcular o período fértil é necessário considerar que a concepção acontece sempre no meio do ciclo, ou seja, em torno do 14º dia de um ciclo normal de 28 dias.
Desta forma, para saber quando é o período fértil é preciso contar 14 dias a partir da data em que veio a última menstruação. A ovulação acontecerá entre 3 dias antes e 3 dias depois dessa data, que é o que se considera o período fértil da mulher. "
Como eu devo cuidar do umbigo do bebê?,O umbigo pode cair entre 7 e 15 dias após o nascimento. É importante fazer a limpeza dessa parte do corpo do pequeno para evitar infecções.
Quem já fez cesárea pode ter um parto normal?,"Sim. Se seu primeiro parto foi uma cesariana, isso não é impedimento para parto normal. Informe-se melhor no pré-natal para entender o seguimento de uma gestante no final da gestação."
Eu posso escolher o tipo de parto na rede pública?,"De acordo com a Organização Mundial da Saúde (OMS), o parto normal é a melhor via de nascimento para mãe e bebê. Você pode e deve conversar com o seu médico sobre como se sente mas na hora do parto a decisão final é do médico obstetra, que avaliará a melhor abordagem de acordo com as suas condições de saúde e do bebê."
"Após o parto, posso voltar à pílula que eu usava antes de engravidar?","Depende da pílula, procure orientação a respeito disso, pois alguns métodos não são recomendados logo no pós-parto imediato. Até você tirar essa dúvida com o seu médico, use preservativo."
"O médico liberou a retomada das relações sexuais, mas não sinto vontade. É normal?","Isso é super normal devido a uma série de fatores como o estresse do parto, o cansaço de cuidar de um recém-nascido, medo de engravidar novamente e a insegurança em relação ao corpo. Além disso, o seu metabolismo também altera o desejo sexual devido a falta de ovulação e ao aumento do hormônio prolactina que é importante para a produção do leite. Mas logo a sua libido voltará ao normal."
Posso fazer dieta enquanto estou amamentando?,Não faça dietas e regimes nesse período. Eles podem afetar sua produção de leite. Procure apenas ter uma alimentação balanceada e beber muito líquido.
Quando devo fazer o teste de gravidez?,"Existem dois tipos de teste: o de urina e o de sangue. O mais confiável é o de sangue, esse exame pode ser feito sem um pedido médico cerca de 10 dias após a relação sexual e custa em média R$ 50. O teste de gravidez de farmácia pode ser feito a partir do 1º dia do atraso da menstruação e custa cerca de R$ 10. Porém, se o resultado desse primeiro teste for negativo e a menstruação ainda estiver atrasada ou se existirem sintomas de gravidez, o teste deve ser repetido em 3 ou 5 dias, quando os níveis do hormônio beta HCG estão maiores e mais fáceis de serem detectados."
Posso pintar o cabelo enquanto estou amamentando?,"O melhor é evitar até o término da amamentação devido as substâncias presentes nas tinturas que podem fazer mal ao bebê, especialmente aquelas contendo chumbo e amônia. Você pode consultar o seu médico a respeito de tinturas semi-permanentes, que em alguns casos são permitidas."
Fazer exercicios ajuda no parto normal?,"A prática regular de exercícios pode trazer muitas vantagens para as grávidas e para os bebês desde que seguindo à risca as orientações médicas. O trabalho de parto exige paciência e a mulher tem que fazer força, com um melhor condicionamento físico você conseguirá fazer força mais facilmente."
A prática de atividade física prejudica a produção do leite?,"A prática exagerada de exercícios pode diminuir a produção de leite. Prefira atividades de menor intensidade. Se notar diminuição do volume de leite, reduza o ritmo."
É verdade que posso acabar fazendo cocô durante o parto normal?,"Sim, isso pode acontecer. Quando a cabeça do bebê passa pelo canal de parto pode comprimir o reto, parte do intestino que fica logo atrás do útero e da vagina. Se acontecer, não tem problema, isto é normal ocorrer."
"Estou me sentindo triste depois que o meu bebê nasceu, isso é normal?","Não se preocupe, essa tristeza depois do parto é bem comum. Também conhecida por baby blues, ela ocorre devido a modificações neuro-hormonais. Esse sentimento está associado ao medo e ansiedade. Vale a pena conversar com pessoas que já passaram por isso ou mesmo médicos e psicólogos. 
Porém se você está tendo choros compulsivos, tristeza intensa e muita insegurança é recomendável buscar ajuda profissional pois pode se tratar de uma depressão pós-parto."
Passar vontade de comer algum alimento pode provocar algum sinal na aparência do bebê?,"Não. Esses desejos repentinos por algum alimento específico, mesmo se não atendidos, não provocarão o aparecimento de nenhum sinal na aparência do bebê."
Engordei demais na gestação e agora não consigo voltar ao meu peso anterior. O que eu faço?,"Procure um médico ou nutricionista para ajudá-la a perder o peso em excesso. Passados 40 dias do parto, a mulher em geral já pode voltar a fazer atividades físicas leves, sempre com acompanhamento. A alimentação balanceada e fracionada também é sempre bem-vinda."
Até que mês da gestação posso ter relações sexuais?,"Se não há complicações, o sexo é permitido até o final da gestação. Se houver sangramento vaginal, perda de líquido, dor ou qualquer dúvida, procure orientação médica."
,"Sim. Você pode ter parto normal e, na maioria das vezes, mesmo em gestações de alto risco, é o parto que implica em menos complicações. Se há algum impedimento ao parto normal, essa situação deverá ser explicada a você pelo médico e deverá constar por escrito em seu cartão de pré-natal."
Por quanto tempo eu tenho que amamentar?,"O aleitamento deve ser exclusivo por pelo menos seis meses, e depois mantido até dois anos ou mais. Amentar é difícil, exige dedicação e paciência, mas é extremamente benéfica para o desenvolvimento do bebê."
Quanto tempo um casal saudavel pode demorar para engravidar?,"Pode demorar até dois anos para engravidar. Apenas passando desse período é que começa a ser aconselhado exames específicos para avaliar a fertilidade do casal, antes não é preciso se preocupar. Nas mulheres com mais de 35 anos, é recomendável avaliação médica se após 6 meses de tentativas não tenha ocorrido a gestação, pois depois dessa idade a fertilidade diminui naturalmente e não se pode perder tempo seu no diagnóstico e tratamento."
Quanto tempo demora para o leite descer?,"Geralmente, o leite desce entre o terceiro e o quinto dia depois do parto. O líquido que sai antes se chama colostro, que é rico em anticorpos e por isso também é muito importante para o recém-nascido."
Quantos quilos devo engordar na gestação?,"O ideal é engordar entre 10 e 12kg. Assim, a mulher conseguirá voltar ao peso normal em poucos meses, sem precisar ter muito trabalho para emagrecer e fazer grandes sacrifícios."
Qual é o parto ideal para as mulheres com mais de 40 anos e com pressão alta?,"Se a pressão estiver controlada e a gravidez transcorrer bem, não há restrição para o parto normal. Mas converse com o seu médico para decidir como será feito o parto."
Posso ter um acompanhante no parto?,"Sim. Na maternidade, é seu direito escolher um acompanhante e tê-lo sempre ao seu lado durante o trabalho de parto, no parto e pós-parto."
Minha menstruação está atrasada,"Atrasos de até 5 dias são normais e não necessariamente indicam alguma condição. Já se o seu atraso é de mais de 15 dias, é indispensável fazer um teste de gravidez para verificar se não há uma gestação.
Se o resultado for positivo, é necessário contatar seu ginecologista para poder tomar as medidas necessárias e assegurar a sua saúde e do bebê.
Caso o resultado seja negativo, procure um ginecologista para verificar se não existe alguma condição patológica que está causando esse atraso."
É verdade que quem faz parto normal fica com a vagina frouxa?,"Se o parto for feito corretamente, com procedimentos adequados isso não acontece. Agora, se o parto for mal assistido, há riscos. Porém existem exercícios para recuperar e melhorar o desempenho da musculatura vaginal. Eles devem ser iniciados tão logo ocorra a cicatrização dos tecidos vaginais."
É normal ter queda de cabelo durante a amamentação?,"É normal. Em geral, os fios começam a cair entre dois e três meses após o parto e podem continuar por até seis meses. Durante esse período, suavize as escovações, evite banhos com água muito quente e massageie a cabeça sempre que se lembrar."
Meu pé está maior depois da gestação?,"Em alguns casos, isso pode acontecer sim devido a produção de um hormônio que relaxa os ligamentos de todas articulações, fazendo com que os pés fiquem um pouco maiores no comprimento."
Quanto tempo dura o parto normal?,"Enquanto a cesariana demora de 1 a 2 horas para acontecer, a fase ativa do parto normal pode levar de 8 a 12 horas na primeira gestação."
Como é a dor do parto normal?,"O nível de sensibilidade varia muito de pessoa para pessoa e claro que o lado psicológico interfere nessa hora. Mas geralmente, é uma dor suportável e que você vai acabar esquecendo depois que o bebê nasce. Existem algumas alternativas naturais que podem aliviar o incômodo, como massagem, água quente e até mesmo o apoio do seu acompanhante. Além disso, existe a possibilidade de realizar uma analgesia de bloqueio (peridural ou combinada), feita por anestesista, na maternidade, que vai retirar a dor, sem que você perca a mobilidade e a possibilidade de ter um parto normal."
Como é a recuperação do parto normal?,"O parto normal propicia que a mulher retome as atividades mais rápido, enquanto a que faz cesárea pode demorar um pouco devido às limitações da cirurgia, isso porque no caso do parto normal a estrutura dos órgãos internos não foi alterada."
É normal ter sangramento depois do parto?,"É normal, o nome disso é loquios e se trata da perda de sangue, muco e tecidos do interior do útero durante o puerpério. No caso de parto normal, o corrimento escurece até o final do primeiro mês. Depois, por mais um mês, uma secreção amarelada ainda. Em casos de cesariana, o sangramento pode durar até o segundo mês."
É normal se sentir triste depois do parto?,"O cansaço é absolutamente normal. Você gasta muita energia para ter o bebê e não tem tempo de se recompor como deveria porque logo começa a cuidar dele. Por isso, peça ajuda a sua familia para dar banho, ninar e trocar o bebê, além de cozinhar, arrumar a casa e afins."
É normal ter febre quando desce o leite?,"Sim, as reações metabólicas podem causar febre baixa nas primeiras horas do pós-parto, mas ela logo regride. O importante é que não passe dos 38°C. Nesse caso, é preciso investigar eventuais infecções."
É normal perder peso durante a amamentação?,A produção de leite absorve muitas calorias por isso é normal emagrecer durante a amamentação.
É normal não menstruar durante a amamentação?,"Em geral, é normal não menstruar nesse período. Mas isso não é regra. Algumas podem menstruar e até engravidar enquanto amamentam, embora as chances sejam menores."
É normal os pés continuarem inchados após o parto?,"Isso é normal e acontece por causa do aumento da retenção de líquidos. Mas fique tranquila, seu pé deve desinchar em até uma semana.
Caso haja inchaço assimétrico, dor importante ou vermelhidão nas pernas após o parto, procure um médico pelo risco de trombose no período pós-parto."
Estou sentindo muita dor quando amamento. Será que estou fazendo algo errado?,"Se a dor for no bico do seio, provavelmente o bebê não está pegando direito o peito. Nesse caso, é importante pedir orientações ao seu obstetra ou ao pediatra da criança. Agora, se você estiver sentindo cólicas, parecidas com as menstruais, não há muito o que fazer a não ser suportar. Mas não se preocupe, pois ela é normal e tende a regredir."
É verdade que grávida come por dois?,"Não, isso é um mito. O importante é ter um prato variado e colorido, com vegetais, frutas, legumes, carboidratos, proteínas e gorduras e beber bastante água. Para ter disposição o dia todo, as refeições devem ser divididas entre três principais: café da manhã, almoço e jantar. É importante também se alimentar de três em três horas, com lanches saudáveis como frutas, iogurtes e cereais."
É possível engravidar na menopausa?,"O que caracteriza a menopausa é a ausência da menstruação e depois de confirmado este diagnóstico, não é possível engravidar por meios naturais."
Como prevenir que o leite empedre?,"É importante nunca ficar com o peito cheio de leite, por isso, dê o peito sempre que o bebê tiver fome e faça o rodízio de mamas, esvaziando cada uma delas até ficarem flácidas. Verifique também se o bebê está pegando o peito direito e conseguindo mamar. Se o seu bebê não mamar tudo, você pode retirar o excesso de leite manualmente ou utilizando uma bombinha de tirar leite e guardar para mais tarde ou doá-lo para bancos de leite."
Posso receber sexo oral?,"O sexo oral, na maioria das vezes, não tem contraindicação. Lembre-se apenas de evitar o contato no caso de herpes labial ativo."
Meus seios ficaram flácidos depois da amamentação,"A verdade é que os seios não voltarão a ser como antes, porém com o tempo, voltam a uma forma parecida com a que tinham. Ah saiba que a flacidez dos seios é causada pela gestação e não pela amamentação, então não adianta interromper a amamentação com intuito de evitar a flacidez."
Sexo durante a gravidez faz mal e pode antecipar o parto?,"O sexo em condições normais não faz mal. Existe restrição em situações anormais, como na ameaça de aborto ou risco de parto prematuro."
O sexo pode machucar o bebê?,"Isso não vai acontecer, a criança está bem protegida dentro do útero e o colo uterino tem um tampão para evitar infecções. Se restarem dúvidas, conversem com o seu médico durante uma consulta de pré-natal."
"O cheiro do meu suor está mais forte, o que fazer?","Isso é normal devido as alterações hormonais. Além dos cuidados básicos de higiene, procure usar roupas leves que facilitam a transpiração, evite cafeína e alimentos picantes e hidrate-se bem."
É normal sentir dor no sexo depois do parto?,"Sim, porque, nessa momento, os hormônios comportam-se quase como que na menopausa. A vagina fica mais seca e dificulta a penetração, causando dor."
,"Infelizmente, as estrias são definitivas. Alguns tratamentos com produtos cosméticos podem atenuar o problema, mas não solucioná-lo."
É normal sentir muita sede durante a amamentação?,Normal. Ter sede é muito comum durante a fase de amamentação pois a produção de leite depende de uma boa hidratação.
A ultrassonografia pode machucar o bebê?,Não. Você pode realizar quantos ultrassons forem necessários desde que seja por indicação médica.
Quais vacinas o bebê precisa tomar?,"Na maternidade é dado o BCG, contra tuberculose, e a vacina contra hepatite B."
Quando devo ir ao pediatra?,A criança deve fazer a primeira consulta ao pediatra entre os primeiros 7 e 10 dias de vida.
Quando posso voltar a ter relações sexuais?,"É recomendado esperar 40 dias antes de voltar às atividades sexuais, para aguardar o fechamento completo do colo uterino e, no caso de parto normal, a cicatrização dos tecidos vaginais."
Posso fazer tratamento para varizes?,"Cirurgias para para varizes não são indicadas nesse momento. As varizes decorrentes da primeira gestação normalmente desaparecem depois do parto. Mas as da segunda gravidez tendem a permanecer. O mais recomendado é deixar as pernas levantadas por alguns minutos, usar meias elásticas de compressão (apenas no frio), evitar ficar muito tempo parada em pé ou sentada e fazer caminhadas regulares. Essas medidas ajudam a aliviar os sintomas."
Posso tomar banho de mar?,"Se a gravidez não é de risco não há problema porém, são necessários alguns cuidados básicos para entrar no mar, como deixar a água chegar, no máximo, até a altura da coxa e evitar ondas fortes de frente."
Posso fazer drenagem linfática?,"Depende. A drenagem linfática é realmente eficaz para reduzir o inchaço, mas há sempre o risco de lesão vascular ou desprendimento de trombos, acarretando problemas muito maiores. Por isso, é importante, antes de qualquer coisa, conversar com o seu obstetra."
Posso usar bastante óleo de amendoas?,"Esse tipo de óleo pode ser usado sem restrições mas ele só melhora a hidratação da pele, o que nem sempre é suficiente para impedir o aparecimento das estrias na pele."
Posso visitar um amigo doente?,"Não pode se a doença for contagiosa ou a pessoa estiver internada. Hospitais são focos de doenças e o melhor é evitar entrar num ambiente assim. Caso não haja um diagnóstico, o melhor é telefonar ou mandar uma mensagem para a pessoa."
Quando posso engravidar de novo?,"Você pode engravidar de novo seis meses após o parto. O certo é esperar esse período porque quando engravidar, será interrompida a amamentação e a criança precisa se alimentar exclusivamente de leite por seis meses."
Como deve ser a minha dieta depois do parto?,A dieta deve ser a mesma que você teve durante a gestação para não influenciar a qualidade do leite materno e a saúde da criança.
Quando devo começar a amamentar?,"A descida do leite acontece 72 horas após o nascimento. Isso acontece porque o bebê demora para entender que nasceu e que precisará buscar alimento de outra maneira. O bebê demora entre três e quatro dias para começar a acordar com fome. Até o leite descer, o bebê irá se alimentar do colostro."
O que acontece se eu tomar pílula e estiver grávida?,"Se estiver no início da gravidez e tomar alguns comprimidos por engano, geralmente, não há problemas. Mas procurar um ginecologista é a primeira atitude que deve ser tomada nesse momento."
Grávida pode realizar sexo anal?,"Sim, porém a camisinha é sempre fundamental, e deve-se evitar ao máximo que o pênis entre em contato com a vagina, para que não haja perigo de contaminação."
Grávida pode fazer sexo sem camisinha?,O uso da camisinha é sempre fundamental para não prejudicar a saúde da mãe nem do bebê.
Grávida consegue ter orgasmo?,"Consegue sim! Inclusive existem mulheres que chegam ao orgasmo pela primeira vez durante a gestação, por causa da irrigação maior de sangue na vagina."
Quando a minha menstração vai voltar?,"A menstruação depois do parto pode demorar cerca de 2 meses a 1 ano para vir, dependendo de se você amamenta ou não. Para mulheres que amamentam somente no peito, a menstruação pode vir só quando o bebê parar de mamar, ou diminuir muito a frequência das mamadas, por volta de 1 ano de idade. Já para quem não amamenta, a menstruação pode vir em cerca de 2 meses, depois do nascimento, mas ainda assim, é normal que fique desregulada inicialmente."
Devo me consultar após o parto?,"Sim, procure a rede de saúde pública mais próxima e faça esta consulta até 42 dias depois do parto, para saber como está sua saúde depois do parto, como estão o útero, as mamas, o sangramento e, se for o caso de cesárea ou de corte no períneo, como está a cicatrização. "
Qual o melhor parto para a mãe?,"Em condições normais, o parto normal é a melhor opção, entre as vantagens para a mãe estão:

- a recuperação é mais rápida e a mulher volta a andar logo após o parto
- o risco de infecção é menor
- há menos riscos de hemorragia
- após o parto normal, a mulher se sente melhor, o que facilita a amamentação
- a cicatriz da cesariana no útero pode ter conseqüências em futuros partos"
Qual o melhor parto para o bebê?,"Em condições normais, o parto normal é a melhor opção, entre as vantagens para o bebê estão:

- a criança não corre o risco de ser tirada da barriga antes do tempo
- a criança corre menos risco de problemas respiratórios
- o risco de doenças como infecções é menor
- é mais freqüente o contato pele a pele e o início da amamentação ainda na sala de parto"
Quando devo ir a maternidade?,"- Quando você estiver sentindo, pelo menos, três contrações no período de meia hora.
- Quando a bolsa-d’água se romper antes de começarem as contrações. (Preste atenção na cor e no cheiro do líquido, porque esta é uma informação
importante para orientar os profissionais que vão atendê-la na maternidade).
- Quando tiver sangramento, mesmo sem dor."
É possível engravidar enquanto estou amamentando?,"É possível engravidar enquanto está amamentando, e por isso é recomendado voltar o uso da pílula anticoncepcional 15 dias após o parto. É importante utilizar um método contraceptivo durante a amamentação."
